0.1,0.001,1e-07,1e-09
5.0000e-05,4.3200e-05,6.3400e-05,7.1000e-05
3.7600e-05,4.4300e-05,7.1900e-05,8.4300e-05
3.9800e-05,4.6400e-05,7.0600e-05,8.4500e-05
4.6400e-05,5.5100e-05,8.6700e-05,1.0220e-04
6.2000e-05,9.3100e-05,1.1090e-04,1.2240e-04
5.8100e-05,7.1500e-05,1.1830e-04,1.4050e-04
6.5300e-05,8.6100e-05,1.4350e-04,1.7490e-04
8.4200e-05,1.3290e-04,2.0590e-04,2.6360e-04
1.2010e-04,1.7590e-04,2.7300e-04,3.4940e-04
5.3900e-04,1.0142e-03,1.7814e-03,2.2844e-03
1.2298e-03,1.3806e-03,2.2996e-03,3.1663e-03
3.1904e-03,3.7507e-03,4.9423e-03,6.2840e-03
