,0.1,0.001,1e-07,1e-09
3,7.8430e-03,9.1732e-05,1.2689e-08,1.5583e-10
4,1.0323e-02,8.6594e-05,1.2116e-08,9.2025e-11
7,9.2146e-03,8.4236e-05,1.0149e-08,8.9175e-11
10,1.0927e-02,9.3728e-05,1.1822e-08,9.7492e-11
15,1.0604e-02,9.2861e-05,1.1529e-08,9.7179e-11
20,1.1511e-02,9.7517e-05,1.2412e-08,1.0106e-10
30,1.1872e-02,9.9538e-05,1.2770e-08,1.0283e-10
50,1.2337e-02,1.0194e-04,1.3226e-08,1.0483e-10
70,1.2647e-02,1.0347e-04,1.3528e-08,1.0606e-10
100,1.2978e-02,1.0505e-04,1.3850e-08,1.0730e-10
200,1.3626e-02,1.0806e-04,1.4477e-08,1.0962e-10
500,1.4485e-02,1.1195e-04,1.5309e-08,1.1256e-10
