,0.01,0.001,1e-05,1e-07,1e-09,1e-15
-0.4,1,1,4,4,4,4
-0.3,1,1,4,4,4,4
-0.2,1,1,4,4,4,4
-0.1,1,4,4,4,4,4
0.0,1,4,4,4,4,4
0.1,1,4,4,4,4,4
0.2,4,4,4,4,4,4
0.3,4,4,4,4,4,4
0.4,4,4,4,4,4,100000
0.5,4,4,16,17,18,19
0.6,6,17,18,19,19,20
0.7,3,3,6,6,6,6
0.8,3,3,3,3,6,6
0.9,3,3,3,3,3,3
1.0,0,0,0,0,0,0
