,0.01,0.001,1e-05,1e-07,1e-09,1e-15
1.0,2,2,5,5,5,5
0.9,2,2,5,5,5,100000
0.8,2,2,47,48,49,50
0.7,2,2,11,12,12,13
0.6,2,2,7,8,8,9
0.5,2,2,8,8,9,10
0.4,2,2,9,10,11,12
0.3,2,2,11,12,12,13
0.2,2,11,12,13,14,15
0.1,2,12,14,15,15,16
0.0,2,14,15,16,16,18
-0.1,14,15,16,17,18,19
-0.2,15,16,17,18,19,20
-0.3,16,17,18,19,20,21
-0.4,0,0,0,0,0,0
