m,Natural max error,Natural square error
2,0.9776706889370069,0.0717153575661761
3,0.991037238509981,0.06606654305503445
5,1.1231551385476346,0.06306880666221482
7,0.8611582033488099,0.059469102014496185
8,0.8215993239469415,0.058036746138650196
9,0.8208205740771748,0.05803735909090902
