,Float32,Float64
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
7,1e-06,0.0
9,1e-06,0.0
12,3e-06,0.0
15,5e-06,0.0
18,8e-06,0.0
20,6e-06,0.0
30,1.3e-05,0.0
50,4.4e-05,0.0
100,0.000199,0.0
200,0.00138,0.0
