,Float32,Float64
3,2e-06,0.0
4,6.4e-05,0.0
5,0.002004,0.0
7,1.367686,0.0
9,4.197936,2e-06
12,10.890656,0.037738
15,1.555206,0.729671
18,5.232286,1.875801
20,4.382484,47.742356
30,16.162956,5.635843
